sl,aspect,ecen,foam,narrow,pa,pd,plb,rec,target
1,0.690793162,0.723052424,0.834317016,1.001736793,0.013073759,2.77588517,1.644616486,1.344919604,1
2,0.7013792,0.712788341,0.796011243,1.004511797,0.018162513,2.75584256,1.627077822,1.444123818,1
3,0.637165626,0.770726907,0.801707055,1.002224393,0.023029547,2.68280729,1.642335305,1.380757401,1
4,0.69227099,0.721637635,0.811454103,1.003854259,0.019532974,2.797096117,1.659235942,1.35908212,1
5,0.568712556,0.822536339,0.759643122,1.004478772,0.027442476,2.61290143,1.673094289,1.365039653,1
6,0.672190764,0.740377996,0.837313861,1.004388477,0.026070804,2.689433531,1.615387494,1.381875211,1
7,0.590264767,0.807209703,0.763675001,1.000047258,0.021548309,2.604695556,1.637977966,1.430780264,1
8,0.663642583,0.748049812,0.803129121,1.007139757,0.01767233,2.640237249,1.598352873,1.467821087,1
9,0.550115313,0.835088704,0.766246204,1.001695008,0.027098732,2.557905619,1.652935926,1.373519996,1
10,0.458964745,0.88845448,0.658978137,1.002727515,0.031829958,2.407463507,1.654618391,1.501110528,1
11,0.675579776,0.737286896,0.822926937,1.00057882,0.029837202,2.748207543,1.64110256,1.363651315,1
12,0.604305074,0.796753022,0.770143068,1.000665802,0.020800187,2.620173365,1.634301309,1.433627418,1
13,0.372874051,0.927881966,0.596427534,1.000000331,0.017325474,2.368338402,1.725095748,1.39992998,2
14,0.399607318,0.916686419,0.647853589,1.000102114,0.020298659,2.369597846,1.693217651,1.379457169,2
15,0.457014225,0.889459385,0.662514703,1.000000456,0.016921232,2.393950082,1.643052712,1.511796237,2
16,0.506718408,0.862111625,0.699725152,1.000000465,0.015954649,2.484636305,1.649039028,1.473339319,2
17,0.445624433,0.895220009,0.6293903,1.000000464,0.019538158,2.383246816,1.648594108,1.565669684,2
18,0.450955179,0.892546596,0.641013995,1.000373586,0.015794502,2.445137545,1.685821209,1.476809529,2
19,0.517035148,0.855964167,0.701815169,1.000828842,0.018078221,2.497282051,1.647524058,1.481262879,2
20,0.479787115,0.877384935,0.644386449,1.000584387,0.016668695,2.458369502,1.662270279,1.545574909,2
21,0.38677379,0.922174623,0.577662398,1.000292107,0.017593474,2.30256412,1.660859711,1.585241475,2
22,0.540107375,0.841596117,0.756847135,1.000000335,0.011125804,2.565615464,1.665868474,1.36168971,2
23,0.827217321,0.561882109,0.610433766,1.027919164,0.013249845,3.039339522,1.709810488,1.74379067,3
24,0.82964109,0.55829711,0.753473446,1.000508397,0.022057731,2.915159976,1.594106106,1.625719745,3
25,0.915327798,0.402709601,0.64660632,1.063753798,0.016033308,2.990793786,1.661056792,1.756593049,3
26,0.805615508,0.592438734,0.691808011,1.012934256,0.019119223,2.857776418,1.603187178,1.745471881,3
27,0.876064294,0.48219431,0.612243278,1.041011187,0.015821165,2.986307875,1.657075356,1.859609008,3
28,0.997354532,0.072690691,0.643450674,1.103499004,0.016198092,2.991789573,1.65290476,1.786150154,3
29,0.940505383,0.339778787,0.671723629,1.069884775,0.014416596,2.896853001,1.597160692,1.83076824,3
30,0.961336268,0.275377161,0.622681905,1.071077101,0.022054903,2.963419028,1.618310085,1.924735787,3
31,0.860034056,0.510236634,0.612879222,1.02300023,0.016387917,3.055669702,1.680587943,1.803707501,3
32,0.923367603,0.383917008,0.654814329,1.064648735,0.018780198,2.941325822,1.628122888,1.806122245,3
33,0.891189928,0.453630369,0.743938523,1.000000428,0.010303677,3.307136496,1.748707447,1.375682615,4
34,0.749851321,0.661606376,0.775849774,1.00000048,0.012937425,2.907180081,1.661387708,1.436292448,4
35,0.662173392,0.749350651,0.622856568,1.000000457,0.01373897,2.943188313,1.770687505,1.541476186,4
36,0.769145126,0.639074155,0.652153259,1.000131199,0.014309917,3.107702567,1.756843036,1.533399859,4
37,0.774878518,0.632110182,0.776111722,1.000335056,0.015793825,2.940321406,1.657187547,1.4495007,4
38,0.651656334,0.758514352,0.690599195,1.000104687,0.016347756,2.794827167,1.69231316,1.516985239,4
39,0.889219127,0.457481523,0.789915509,1.000132721,0.014645759,3.110179965,1.646496537,1.461273416,4
40,0.812166587,0.583425604,0.823024509,1.00039301,0.01118427,2.889200341,1.594961438,1.483629218,4
41,0.575935278,0.817495294,0.37626892,1.00087292,0.019958245,3.186936554,2.024016175,1.889558147,5
42,0.577125408,0.816655535,0.414023031,1.000166522,0.019200287,3.133013834,1.986865174,1.783060511,5
43,0.561706038,0.827336888,0.332994571,1.003736721,0.022472095,3.352159342,2.154493448,1.871425938,5
44,0.51604048,0.856564196,0.333351412,1.003652231,0.019269268,2.990772821,1.979957562,2.157931986,5
45,0.448813448,0.893625475,0.355477997,1.002952349,0.018733364,3.018476214,2.089563576,1.730241248,5
46,0.581150967,0.813795769,0.000299751,1.003964525,11.04463737,6.437940276,4.087821967,582.8918817,5
47,0.506538777,0.862217181,0.3573957,1.000417489,0.021154548,3.09650784,2.056236882,1.855009317,5
48,0.515918536,0.856637651,0.36907167,1.0048485,0.018415797,2.857832591,1.894355616,2.129047321,5
49,0.606679016,0.794946898,0.343925065,1.000000289,0.01900571,3.420716812,2.129061104,1.89343452,5
50,1,0,0.785000027,1.000100017,2.828427076,2.828144215,1.414213538,2,5
51,0.601461438,0.798901833,0.000343048,1.001817214,9.455635455,6.525456065,4.082092805,515.2813405,5
52,0.952362582,1,0.200948243,1.000200033,0.043176645,1.999600014,2,2.6000,5
53,0.948958138,0.30496805,0.276467883,1.088150375,0.036550616,4.489424645,2.502183331,2.494299185,6
54,0.826189362,0.315402049,0.240229698,1.015710058,0.028822631,4.380565876,2.282955561,2.177670005,6
55,0.961916647,0.563392525,0.341840177,1.000586039,0.023514767,4.572722564,2.505436978,2.063402534,6
56,0.835213264,0.273342943,0.215183888,1.028777201,0.034514083,4.216585251,2.211065786,1.878190078,6
57,0.77767671,0.54992618,0.001032999,1.00000058,15.67264697,4.944135558,2.694040264,1.994325433,6
58,0.94642612,0.628664406,0.000402059,1.0078992,25.78105958,5.295806286,3.002592592,331.8872828,6
59,0.687301144,0.322920424,2.04E-05,1.007848314,296.3884327,3.581624298,1.85454458,2269.00628,7
60,0.600502254,0.726372588,0.494047003,1.000000545,0.015715496,5.634825341,3.339551111,13310.86308,7
61,0.601019589,0.799623063,0.572275342,1.00251006,0.016690546,2.882455828,1.805490093,1.828240022,7
62,0.641326496,0.799234292,0.000340312,1.001388165,14.71275753,2.828759611,1.769301521,1.643903196,7
63,0.576009765,0.767268092,0.625985242,1.000712326,0.015033754,5.498650773,3.352512507,781.7375032,7
64,0.489769643,0.817442812,0.601882912,1.003727578,0.014661085,2.735357351,1.742091748,1.533188437,7
65,0.542480192,0.871851878,0.667175263,1.002162765,0.018249974,2.540682152,1.70910789,1.576493884,7
66,0.619006714,0.840068593,0.512382598,1.005488215,0.021832004,2.485508097,1.620214712,1.635118585,7
67,0.559057367,0.785385693,0.000607381,1.00664113,8.200527615,2.989453388,1.858736415,1.67555124,7
68,0.280613642,0.829128977,0.317354485,1.00017766,0.022756613,5.30706699,3.404627664,410.3190182,7
69,0.243701361,0.959820808,0.297906348,1.000233708,0.02581792,2.155103261,1.683260943,2.39009211,8
70,0.388909796,0.969850322,0.277364985,1.000083948,0.025882157,2.156035661,1.733709332,2.209953029,8
71,0.460117004,0.921275839,0.312743283,1.000472768,0.029264417,2.152385992,1.550427233,3.797834454,8
72,0.519250425,0.88785829,0.290418292,1.000209678,0.03069479,2.166415176,1.48403821,3.935541076,8
73,0.591804366,0.854622136,0.299919766,1.000149195,0.027291509,2.157210284,1.420129357,4.824229826,8
74,0.327050601,0.806081629,0.293744812,1.000904082,0.022964564,2.169540057,1.364176116,5.255843787,8
75,0.214044572,0.945006828,0.320883216,1.00069379,0.023098526,2.154435047,1.624602537,3.008604949,8
76,0.407766307,0.976823895,0.306178373,1.000076237,0.026147715,2.166451306,1.784626792,1.784772133,8
77,0.287527406,0.913086326,0.315248556,1.000164465,0.021160253,2.193294276,1.558252235,3.476080426,8
78,0.642774273,0.957772411,0.269175065,1.00034694,0.029816006,2.157289941,1.676110645,2.459786687,8
79,0.83142553,0.766055634,0.511691395,1.00080815,0.013727619,2.150094109,1.309876679,6.477339978,8
80,0.783940351,0.555636202,0.632768473,1.019893641,0.014165843,3.348375226,1.864660368,1.74995497,9
81,0.792460051,0.620836151,0.000431876,1.002419188,13.17673913,3.016523062,1.695023378,1.701828464,9
82,0.762487113,0.609923821,0.442050301,1.000084839,0.012364116,5.514379918,3.076692141,757.7763219,9
83,0.718247027,0.647003402,0.519495429,1.016204,0.016195701,3.415108568,1.969062334,1.798786533,9
84,0.784402883,0.695788192,0.543825143,1.001225995,0.0166649,3.112614951,1.813726986,1.787996703,9
85,0.795572803,0.620251656,0.469681017,1.010599195,0.015896264,3.152231668,1.785271038,1.785152763,9
86,0.820879595,0.605858,0.686811233,1.036023548,0.02224416,3.290525909,1.898593209,1.830613568,9
87,0.821448322,0.571101296,0.538278439,1.000000779,0.01211344,3.076948614,1.689815746,1.585588717,9
88,0.83901067,0.57028296,0.561408717,1.027218117,0.012473986,3.162693305,1.783622308,1.816031605,9
89,0.654780105,0.544114966,0.484056624,1.031903822,0.022015155,3.223672923,1.808864117,1.696280174,9
90,0.775333178,0.755819432,0.62297953,1.000576675,0.014766576,2.948211603,1.782660882,1.952409427,9
91,0.740338582,0.631552423,0.645585596,1.002118138,0.016158097,3.033956848,1.712570478,1.691015493,9
92,0.785025519,0.672234174,0.493382032,1.000000529,0.015445415,2.875369808,1.652190763,1.742120992,9
93,0.893211771,0.619463425,0.560995729,1.036063056,0.010751117,3.219817951,1.86884411,1.795788037,9
94,0.866094526,0.449636221,0.578445566,1.006873085,0.009389012,3.40082932,1.808674319,1.705553654,10
95,0.83377947,0.499880258,0.00027066,1.009920232,13.06166167,3.370938133,1.824333428,1.622619636,10
96,0.870315118,0.552097632,0.585038348,1.013494277,0.011897891,6.842234037,3.781569786,804.5971887,10
97,0.74214513,0.492495274,0.456269907,1.032469331,0.011750437,3.385396557,1.868839152,1.529355385,10
98,0.747517868,0.670239216,0.588359969,1.024367189,0.010724173,3.481813446,2.047278031,1.605958583,10
99,0.801714027,0.6642417,0.68632949,1.000000273,0.013155172,3.251297733,1.86052382,1.509573911,10
100,0.881287892,0.597707804,0.635630643,1.007056288,0.012513012,3.170583285,1.772176819,1.439098892,10
101,0.959789441,0.472579783,0.71001119,1.023944571,0.010592724,3.413621926,1.857961055,1.425341345,10
102,0.840685674,0.280720909,0.000248911,1.059407835,13.03450219,3.301526262,1.784713559,1.387856427,10
103,0.911947301,0.541523405,0.70754214,1.000000328,0.011010489,6.687097013,3.632939236,948.6444333,10
104,0.961350282,0.410307349,0.678468169,1.02512841,0.010674154,3.32170307,1.780996886,1.396139824,10
105,0.916458756,0.275328232,0.603427213,1.053447294,0.009653224,3.453101853,1.854671671,1.344922994,10
106,0.902324326,0.400129166,0.176784217,1.038552461,0.03913924,3.561563868,1.93005506,1.394245722,10
107,0.954398945,0.431057781,0.155260364,1.017009344,0.040731086,5.032322927,2.690350624,2.447495638,11
108,0.926276506,0.298534174,0.000341493,1.056678185,8.685931026,5.354922503,2.895227612,2.411388174,11
109,0.5,0.376844576,0.808108259,1.007140784,1.609475692,10.41103255,5.443338718,309.8703672,11
110,0.920547909,0.866025404,0.201739578,1.000049949,0.037958772,2.414092957,1.609475692,1.333333333,11
111,0.981473274,0.390629679,0.220081626,1.014599628,0.031482347,4.478553834,2.36595975,2.775747334,11
112,0.93091956,0.191599094,0.155366188,1.016076073,0.034674804,4.595424644,2.356479437,2.569097487,11
113,0.917438187,0.365224278,0.176258678,1.00000045,0.034752365,5.156463105,2.670471382,2.830355997,11
114,0.890631283,0.397878338,0.1692415,1.016503433,0.039231466,4.95636535,2.627548791,2.575559703,11
115,0.996620621,0.4547262,0.000334029,1.000000542,11.31875352,4.95447381,2.620540842,2.692682665,11
116,0.787047492,0.082142175,0.000360885,1.054786749,10.69974738,8.193334066,4.328423793,501.7466994,11
117,0.985587705,0.61689241,0.14166184,1.000919946,0.036302243,7.473338115,4.185794289,489.5461287,11
118,0.435183641,0.169165234,0.000701809,1.049571495,19.30922308,5.245774605,2.772889599,2.88262887,11
119,0.959698858,0.900341712,0.132103416,1.030130791,0.03982667,4.292383024,3.08094086,398.3471586,11
120,0.745355992,0.281030429,0.673423545,1.028595843,1.365685415,5.499521133,2.886558081,2.851486309,11
121,0.666666667,0.666666667,0.856936973,1.000033299,1.914213538,2.276066568,1.304113527,2.683281573,11
122,0.400929722,0.745355992,0.410154772,1.000066678,0.01574943,2.552114548,1.531370831,1.5,11
123,0.383155577,0.916108814,0.496016983,1.00000021,0.014514995,2.588717457,1.847857148,1.832063978,12
124,0.513491618,0.923683823,0.563669513,1.000561435,0.012728069,2.516352973,1.820305526,1.530515051,12
