sl,aspect,ecen,foam,narrow,pa,pd,plb,rec,target
1,0.85117849,1.432362558,1.000608937,2.182846568,12.14894163,0.123187614,0.113745185,0.524876346,abies_concolor
2,0.929064433,1.630117085,1.000002462,2.233121132,9.755331186,0.119697197,0.095505044,0.369917935,abies_concolor
3,0.806661585,1.442118439,1.000000471,2.294428983,9.481108876,0.084681455,0.148723069,0.59101361,abies_concolor
4,0.459887346,1.168110392,1.000000963,2.205363742,18.04009048,0.215054053,0.127113442,0.887977268,abies_concolor
5,0.746238364,1.324459687,1.000159373,2.205772921,15.3781895,0.122508395,0.111709255,0.66567883,abies_concolor
6,0.503624937,1.191404876,1.005944825,2.207562669,14.24689705,0.097476171,0.154443518,0.863922406,abies_concolor
7,0.747996876,2.648488318,1.000606791,4.403623887,2313.158237,30.13780065,0.000185614,0.663702248,abies_concolor
8,0.569886072,1.198835034,1.001392268,2.1809098,16.27021627,0.095175955,0.132995902,0.821723715,abies_concolor
9,0.879803795,2.987650172,1.000000525,4.407788588,2359.393857,52.8701861,0.000130241,0.475337021,abies_concolor
10,0.650802448,1.254420754,1.000000841,2.20683423,13.63739941,0.172097989,0.143582355,0.75924711,abies_concolor
11,0.729583106,1.311469847,1.002097274,2.203751927,11.33970629,0.116456968,0.15532104,0.683892164,abies_concolor
12,0.406516669,1.154744976,1.001044032,2.207465396,14.64003411,0.097216691,0.160520345,0.913643365,abies_concolor
13,0.726500296,2.700971803,1.00167811,4.549353885,3297.838208,48.14237037,0.000126028,0.687166152,abies_concolor
14,0.673845613,1.311990119,1.000000708,2.281381496,14.36174509,0.138178573,0.12415245,0.738872174,abies_concolor
15,0.760069616,1.37262697,1.000000742,2.264615473,11.69448973,0.149073584,0.136090034,0.649841656,abies_concolor
16,0.742833085,2.644796442,1.002542868,4.404226585,1542.498367,28.44924517,0.000279612,0.669476668,abies_concolor
17,0.485673048,1.170950653,1.001405249,2.191446567,14.91385637,0.093898886,0.152861969,0.874140544,abies_concolor
18,0.524404424,1.528601416,1.000031602,2.830069184,1.584128964,0.83253464,0.842842747,0.851469318,abies_concolor
19,0.832443417,1.463561972,1.00148479,2.271164182,10.96718696,0.10017452,0.122660477,0.554110059,abies_concolor
20,0.662549008,2.936034957,1.000000286,5.135178183,2255.785831,24.3903285,0.000158151,0.749018566,abies_concolor
21,0.837275897,1.669490939,1.009264268,2.558632413,1.49402035,0.320394688,0.689319665,0.546780644,abies_concolor
22,0.80220428,1.357481234,1.000000876,2.16796304,12.19561375,0.195613367,0.130825355,0.597049657,abies_concolor
23,0.776105943,1.29516719,1.000001325,2.111900114,11.82582531,0.259299471,0.150164059,0.630602542,abies_concolor
24,0.61815151,1.254347917,1.000000436,2.240338375,17.66660257,0.108543722,0.111343307,0.786058974,abies_concolor
25,0.697347921,1.274685895,1.000077784,2.188124857,16.45731163,0.220378124,0.114228968,0.716732779,abies_concolor
26,0.839208949,2.869272011,1.000346741,4.428072857,1394.665877,28.37508438,0.000249595,0.543809103,abies_concolor
27,0.908779133,1.535120521,1.000001067,2.175689407,7.751157372,0.216670248,0.142841138,0.417277471,abies_concolor
28,0.942582378,1.734740255,1.000012423,2.314069206,1.423494646,0.611700136,0.550278633,0.333973744,abies_concolor
29,0.603085578,1.229405037,1.000000818,2.210070727,13.21512769,0.152653823,0.155214401,0.797676492,abies_concolor
30,0.917437612,3.234212231,1.000396839,4.519246095,2026.783254,45.4067476,0.000120631,0.397879665,abies_concolor
31,0.85117849,1.432362558,1.000608937,2.182846568,12.14894163,0.123187614,0.113745185,0.524876346,abies_concolor
32,0.797556362,1.364856096,1.000000968,2.188195824,12.27734833,0.222384243,0.128885831,0.603244436,abies_concolor
33,0.881078092,1.511177964,1.000000493,2.225919946,12.40260748,0.137903457,0.096669946,0.47297082,abies_concolor
34,0.48507125,1.722641933,1.00003423,3.228938079,29.73213749,18.82842708,0.035429217,0.874474632,abies_concolor
35,0.808594997,1.45572317,1.001788916,2.308091688,12.23457701,0.110975826,0.112976841,0.588365644,abies_concolor
36,0.6644065,2.544402017,1.000002164,4.446005684,247.3201423,16.17567665,0.001920104,0.747371396,abies_concolor
37,0.60095764,1.221163361,1.002735957,2.191220792,13.96887489,0.101963819,0.148861426,0.799280874,abies_concolor
38,0.784464541,2.237576114,1.056156878,3.432503244,5.374838499,6.16176041,0.110270354,0.620173673,abies_concolor
39,0.814023143,1.360461857,1.000318109,2.149978309,9.867444392,0.173911999,0.159842181,0.580832439,abies_concolor
40,0.847539631,1.46916287,1.00084082,2.247005455,12.13982676,0.122807775,0.108571101,0.530732112,abies_concolor
41,0.909717652,2.054372907,1.000037088,2.907297001,6.020797289,7.828427076,0.102473277,0.415227399,abies_concolor
42,0.923076923,2.007896403,1.000015406,2.780121422,16.25,9.035533816,0.038461128,0.384615385,abies_concolor
43,0.823763309,1.457632161,1.000000934,2.284011066,10.2158347,0.201552254,0.133613692,0.566933868,abies_concolor
44,0.665845843,1.238871637,1.000000864,2.163178699,15.67395894,0.197724682,0.127766273,0.746089347,abies_concolor
45,0.856226798,2.920911494,1.000615474,4.4271299,1142.129634,18.74288564,0.000289501,0.516600107,abies_concolor
46,0.88406217,1.50766429,1.000000574,2.212299053,10.15730877,0.136080562,0.118081815,0.467369319,abies_nordmanniana
47,0.877362355,1.465381013,1.00000082,2.168510669,7.535463351,0.146126854,0.170075514,0.479828405,abies_nordmanniana
48,0.861138618,1.417797894,1.000000706,2.138562612,9.445992657,0.141088933,0.147801072,0.508370221,abies_nordmanniana
49,0.503393726,1.122533653,1.000001255,2.092464253,6271.079912,95.28499249,0.000395251,0.864057149,abies_nordmanniana
50,0.719929915,1.282866644,1.000635407,2.17185608,11.46696094,0.14772987,0.160959356,0.694046769,abies_nordmanniana
51,0.590220749,1.217715782,1.002785892,2.194593072,10.44806355,0.055208171,0.200370179,0.807241889,abies_nordmanniana
52,0.273759718,1.117440185,1.001875834,2.188087561,13.60657652,0.050025821,0.184742789,0.961798117,abies_nordmanniana
53,0.624695048,1.218919864,1.000031218,2.170668605,9.147320339,3.971284185,0.227541,0.780868809,abies_nordmanniana
54,0.722428122,2.612542536,1.000053721,4.418737315,3130.372074,38.38528122,0.000142072,0.691446027,abies_nordmanniana
55,0.586262646,1.210286967,1.002431175,2.185452694,11.07501532,0.16780899,0.191427033,0.810121047,abies_nordmanniana
56,0.765637644,1.315721939,1.00000049,2.162088097,8.733982569,0.071271233,0.197890451,0.643272103,abies_nordmanniana
57,0.611472433,1.273502712,1.001972424,2.276691172,9.569166212,0.066864582,0.199580504,0.791265735,abies_nordmanniana
58,0.318096403,1.165606492,1.000000646,2.270668018,16.19510499,0.118360431,0.142604458,0.948058373,abies_nordmanniana
59,0.447213595,1.778898234,1.118078664,3.014093098,35.77708764,30.14213538,0.027648502,0.894427191,abies_nordmanniana
60,0.888415016,1.488811889,1.000000826,2.172235987,6.777654523,0.131958388,0.180279808,0.459041131,abies_nordmanniana
61,0.87013368,1.45202885,1.000000847,2.167609723,7.084495058,0.133559453,0.185952668,0.492815765,abies_nordmanniana
62,0.736022375,1.291882542,1.001447217,2.163300975,9.03847837,0.062510144,0.200431286,0.676957209,abies_nordmanniana
63,0.599474456,2.420248133,1.001059213,4.352789415,5288.93703,58.62911084,0.000100108,0.800393889,abies_nordmanniana
64,0.905571678,1.518134787,1.00000115,2.16211487,7.343206749,0.225141621,0.155206226,0.424193276,abies_nordmanniana
65,0.971825316,1.84198284,1.000033299,2.276066568,4.242640687,6.828427076,0.134684709,0.23570226,abies_nordmanniana
